Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,percentil,risco
SÃO JOÃO D'ALIANÇA,2026-06-19,0.0,2,6,4,1,0.0174500083436336,-14.47092130372994,-47.44566869827519,4.917582417582418,0.8304506485955084,0.9385245901639344,ALTO
FLORES DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0204832514475835,-14.69582900883936,-46.88334718801356,4.961538461538462,0.8155476103076853,0.9344262295081968,ALTO
GOIÂNIA,2026-06-19,0.0,3,6,4,1,0.0056264149104425,-16.627186847284758,-49.26892340187793,3.121387283236994,0.8038211879971802,0.930327868852459,ALTO
MONTE ALEGRE DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0256814090551314,-13.350813143278856,-46.98514054795142,5.746268656716418,0.8011967370668337,0.9262295081967213,ALTO
SERRANÓPOLIS,2026-06-19,0.0,3,6,4,1,0.0084580817321678,-18.245444254046,-52.13858145093347,3.9432624113475176,0.7989002987361693,0.9221311475409836,ALTO
ITUMBIARA,2026-06-19,0.0,3,6,4,1,0.0076968174575397,-18.36303539838409,-49.51316782799183,5.170940170940171,0.7963741929022637,0.9180327868852459,ALTO
PARAÚNA,2026-06-19,0.0,3,6,4,1,0.0093854803053326,-17.025229406670206,-50.64132283176662,7.314814814814815,0.7948292124367929,0.9139344262295082,ALTO
PADRE BERNARDO,2026-06-19,0.0,2,6,4,1,0.0171465363583066,-15.387542873502616,-48.24234321428453,3.821138211382114,0.7817025214893047,0.9098360655737705,ALTO
SÃO MIGUEL DO ARAGUAIA,2026-06-19,0.0,1,6,4,1,0.0108009445288652,-13.03457954651454,-50.31087167757311,5.801418439716312,0.7718231198268765,0.9057377049180327,ALTO
SÃO DOMINGOS,2026-06-19,0.0,3,6,4,1,0.0184815177438814,-13.484742034647564,-46.3952483067699,5.164179104477612,0.7660362255636624,0.9016393442622951,ALTO
MINAÇU,2026-06-19,0.0,2,6,4,1,0.0177172999706126,-13.517945024690189,-48.337109129169214,5.321428571428571,0.7593225903256837,0.8975409836065574,MÉDIO
CRIXÁS,2026-06-19,0.0,2,6,4,1,0.0142565379384284,-14.80659158075239,-50.06889904182484,3.504,0.7583192453894398,0.8934426229508197,MÉDIO
JUSSARA,2026-06-19,0.0,4,6,4,1,0.0097384233928906,-15.53774041723269,-51.30291227238109,7.694117647058824,0.7466231859562372,0.889344262295082,MÉDIO
URUAÇU,2026-06-19,0.0,3,6,4,1,0.0084898318425548,-14.424659723475168,-49.081429732121045,2.8306451612903225,0.7451480194591491,0.8852459016393442,MÉDIO
ALTO PARAÍSO DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0136045531135044,-14.194794675020932,-47.58800995260268,5.992063492063492,0.7409623926054549,0.8811475409836066,MÉDIO
DOVERLÂNDIA,2026-06-19,0.0,3,6,4,1,0.0061203875580916,-16.786897298262215,-52.47629182084975,6.219512195121951,0.7407346333309065,0.8770491803278688,MÉDIO
