Municipio,Contagem,Latitude,Longitude,Municipio_Freq
URUANA,1341,-15.537768557761284,-49.65225244233562,0.000990160419278667
CIDADE OCIDENTAL,1328,-16.103552382328953,-47.86022791897977,0.0009805615486965472
HIDROLINA,1304,-14.78351237067298,-49.29993852784245,0.0009628405568526337
APARECIDA DO RIO DOCE,1302,-18.227504652876398,-51.298408339959074,0.0009613638075323075
CACHOEIRA DOURADA,1272,-18.46651639403071,-49.55177475564167,0.0009392125677274157
ALTO HORIZONTE,1234,-14.162393972965113,-49.45279801107309,0.0009111543306412193
LEOPOLDO DE BULHÕES,1224,-16.556636131106096,-48.89337232999825,0.0009037705840395887
CAMPOS VERDES,1222,-14.200869051269477,-49.67078102066461,0.0009022938347192625
DAMIANÓPOLIS,1210,-14.591784557452117,-46.16138493743546,0.0008934333387973059
VARJÃO,1105,-17.057239672517852,-49.63849902778105,0.0008159039994801843
AURILÂNDIA,1104,-16.694217641941965,-50.54701395836094,0.0008151656248200212
IPIRANGA DE GOIÁS,1095,-15.155239440421735,-49.6667347648474,0.0008085202528785536
NOVO GAMA,1089,-16.10973108267564,-48.07263803458282,0.0008040900049175753
CACHOEIRA DE GOIÁS,1088,-16.743051878299504,-50.687902715799886,0.0008033516302574121
SÃO FRANCISCO DE GOIÁS,1049,-15.930856959393246,-49.25922517675899,0.0007745550185110527
PETROLINA DE GOIÁS,1045,-16.11674724559263,-49.318512368591655,0.0007716015198704004
VIANÓPOLIS,1032,-16.848283967930477,-48.46851922795139,0.0007620026492882807
TEREZÓPOLIS DE GOIÁS,1031,-16.451781768427683,-49.07980840150495,0.0007612642746281176
DAVINÓPOLIS,1029,-18.113605118464033,-47.53297332981958,0.0007597875253077915
CARMO DO RIO VERDE,996,-15.426910428711977,-49.742093983937615,0.0007354211615224105
MAIRIPOTABA,948,-17.295161367113327,-49.44670063542476,0.0006999791778345834
GOIANDIRA,940,-18.109377022796593,-48.127692489190395,0.0006940721805532789
OUVIDOR,929,-18.22269684670895,-47.73785347238525,0.0006859500592914852
EDEALINA,878,-17.41358594607326,-49.76627082483966,0.000648292951623169
ESTRELA DO NORTE,852,-13.815008598965576,-49.04348551590312,0.0006290952104589293
GOIANIRA,843,-16.508575399186565,-49.41469315151372,0.0006224498385174618
ISRAELÂNDIA,842,-16.357079235135966,-50.868874162608,0.0006217114638572988
RIO QUENTE,813,-17.794891918495523,-48.787827332868765,0.00060029859871257
BURITINÓPOLIS,801,-14.42314966215634,-46.33303829144667,0.0005914381027906132
SÃO LUÍS DE MONTES BELOS,790,-16.469151982594024,-50.3923408472066,0.0005833159815288195
MOIPORÁ,788,-16.48291057823502,-50.79468243580173,0.0005818392322084933
GAMELEIRA DE GOIÁS,765,-16.393084698423134,-48.71174726623623,0.0005648566150247429
CRISTIANÓPOLIS,738,-17.206932724384384,-48.69296888350953,0.0005449204992003402
ITAUÇU,725,-16.19395275886309,-49.59347382261099,0.0005353216286182205
TURVÂNIA,692,-16.5749332857626,-50.13386843949185,0.0005109552648328394
BURITI ALEGRE,686,-18.058745550168023,-49.05309547296925,0.000506525016871861
CROMÍNIA,673,-17.253757641416556,-49.343018999846976,0.0004969261462897411
CUMARI,661,-18.301979326576244,-48.12847505289865,0.0004880656503677844
AMORINÓPOLIS,640,-16.66506804069733,-51.10984947764403,0.0004725597825043601
HEITORAÍ,634,-15.737018243255713,-49.790724013839586,0.00046812953454338174
NAZÁRIO,620,-16.599868890591072,-49.81683600889826,0.00045779228930109886
BURITI DE GOIÁS,604,-16.117288760460852,-50.42866144294369,0.00044597829473848983
RIANÁPOLIS,603,-15.471388795648876,-49.44433543377273,0.0004452399200783268
PARANAIGUARA,565,-18.80418019132733,-50.7270395812168,0.0004171816829921304
BONFINÓPOLIS,565,-16.593720196431793,-49.00153550440518,0.0004171816829921304
NOVO BRASIL,563,-16.06446829111038,-50.5877548005677,0.0004157049336718043
CATURAÍ,563,-16.46434919145576,-49.556194284601276,0.0004157049336718043
SÃO MIGUEL DO PASSA QUATRO,559,-17.005010859807335,-48.6779096365864,0.00041275143503115204
ABADIA DE GOIÁS,556,-16.78893560640398,-49.43279950787229,0.00041053631105066285
VALPARAÍSO DE GOIÁS,550,-16.08965315501241,-47.98624179015667,0.00040610606308968445
CERES,541,-15.280732075215543,-49.628100932957885,0.0003994606911482169
AVELINÓPOLIS,538,-16.51911947366258,-49.76146747111399,0.0003972455671677277
MARZAGÃO,518,-17.955558865377707,-48.675183437794566,0.00038247807396446645
CÓRREGO DO OURO,500,-16.371262238930456,-50.57972804506588,0.0003691873300815313
SÃO JOÃO DA PARAÚNA,458,-16.83029448609981,-50.38551384054304,0.0003381755943546827
SANCLERLÂNDIA,457,-16.31910344708521,-50.396968692158616,0.00033743721969451963
JOVIÂNIA,457,-17.796625241812514,-49.645908107666806,0.00033743721969451963
ARAGOIÂNIA,450,-16.91901903566752,-49.41650422930775,0.0003322685970733782
SANTO ANTÔNIO DE GOIÁS,431,-16.459177028614274,-49.28880054422419,0.00031823947853028
NOVA AMÉRICA,428,-15.06192828329916,-49.9617065714417,0.0003160243545497908
PALMINÓPOLIS,428,-16.802402853215252,-50.18205094632173,0.0003160243545497908
FIRMINÓPOLIS,420,-16.632875809432132,-50.31542780810252,0.00031011735726848633
TAQUARAL DE GOIÁS,412,-16.03498818375823,-49.60400920317701,0.0003042103599871818
MORRO AGUDO DE GOIÁS,392,-15.304498898497632,-49.98811127634744,0.00028944286678392057
LAGOA SANTA,390,-19.18411260260326,-51.28965509319911,0.0002879661174635944
AMERICANO DO BRASIL,386,-16.26768690474456,-50.03356390050078,0.0002850126188229422
ITAGUARI,381,-15.958521857049124,-49.627389300610744,0.0002813207455221269
CAMPO LIMPO DE GOIÁS,361,-16.299018349281013,-49.110030575894335,0.0002665532523188656
NOVA VENEZA,342,-16.37386734685885,-49.29800513158261,0.00025252413377576744
BRAZABRANTES,327,-16.38638492779754,-49.3872036236477,0.00024144851387332148
CAMPESTRE DE GOIÁS,324,-16.796398326655236,-49.67954670252682,0.0002392333898928323
CALDAZINHA,307,-16.743499656574723,-48.98542839082745,0.00022668102067006023
OURO VERDE DE GOIÁS,267,-16.27053798049984,-49.21511768318319,0.00019714603426353774
ITAGUARU,252,-15.78281026598368,-49.60758994825582,0.00018607041436109178
SÃO PATRÍCIO,248,-15.354159533666003,-49.800363421788425,0.00018311691572043954
ADELÂNDIA,242,-16.353762350998142,-50.17813605937417,0.00017868666775946117
SANTA BÁRBARA DE GOIÁS,217,-16.595488741575974,-49.68567213368231,0.0001602273012553846
TRÊS RANCHOS,199,-18.316873966288444,-47.74838358478794,0.00014693655737244948
ARAÇU,192,-16.334093281250002,-49.70501984375,0.00014176793475130804
GUARAÍTA,163,-15.655710917941402,-50.06909189298791,0.00012035506960657922
PALMELO,152,-17.29286227354363,-48.39789764949551,0.00011223294834478552
JESÚPOLIS,131,-15.964428549618319,-49.40223259541985,9.672708048136121e-05
NOVA AURORA,129,-18.08032677087066,-48.312556451501656,9.525033116103509e-05
SANTA ROSA DE GOIÁS,121,-16.05154736618163,-49.49362956819317,8.934333387973059e-05
ANHANGUERA,110,-18.298455841186364,-48.23644304764,8.122121261793689e-05
ALOÂNDIA,85,-17.68815894117647,-49.45926305882353,6.276184611386032e-05
DAMOLÂNDIA,61,-16.248604825879593,-49.323919440798214,4.5040854269946824e-05
ÁGUA LIMPA,30,-17.931234278399998,-48.799315130206665,2.215123980489188e-05
